@0001	 	a2
@0002	 	bf
@0003	 	d9
@0004	 	ec
@0005	 	f9
@0006	 	fe
@0007	 	ff
@0008	 	fc
@0009	 	f8
@000a	 	f5
@000b	 	f2
@000c	 	f1
@000d	 	f1
@000e	 	f1
@000f	 	f1
@0010	 	f1
@0011	 	f1
@0012	 	f0
@0013	 	ef
@0014	 	ee
@0015	 	ec
@0016	 	e8
@0017	 	e4
@0018	 	df
@0019	 	d9
@001a	 	d3
@001b	 	ce
@001c	 	c8
@001d	 	c3
@001e	 	bd
@001f	 	b8
@0020	 	b4
@0021	 	b0
@0022	 	ac
@0023	 	a9
@0024	 	a6
@0025	 	a3
@0026	 	9f
@0027	 	9b
@0028	 	97
@0029	 	94
@002a	 	92
@002b	 	93
@002c	 	96
@002d	 	9a
@002e	 	9f
@002f	 	a2
@0030	 	a4
@0031	 	a4
@0032	 	a3
@0033	 	a2
@0034	 	a1
@0035	 	a1
@0036	 	a2
@0037	 	a3
@0038	 	a3
@0039	 	a2
@003a	 	a1
@003b	 	a1
@003c	 	a0
@003d	 	a2
@003e	 	a5
@003f	 	a9
@0040	 	ad
@0041	 	b0
@0042	 	b2
@0043	 	b1
@0044	 	ae
@0045	 	aa
@0046	 	a6
@0047	 	a2
@0048	 	9e
@0049	 	9b
@004a	 	99
@004b	 	95
@004c	 	91
@004d	 	8c
@004e	 	88
@004f	 	82
@0050	 	7d
@0051	 	77
@0052	 	72
@0053	 	6c
@0054	 	66
@0055	 	61
@0056	 	5c
@0057	 	59
@0058	 	57
@0059	 	55
@005a	 	54
@005b	 	54
@005c	 	53
@005d	 	53
@005e	 	53
@005f	 	53
@0060	 	53
@0061	 	52
@0062	 	50
@0063	 	4d
@0064	 	49
@0065	 	46
@0066	 	45
@0067	 	4a
@0068	 	55
@0069	 	68
@006a	 	80
@006b	 	9d
