@0001	 	a2
@0002	 	c2
@0003	 	de
@0004	 	f1
@0005	 	fc
@0006	 	ff
@0007	 	fc
@0008	 	f8
@0009	 	f4
@000a	 	f2
@000b	 	f1
@000c	 	f1
@000d	 	f1
@000e	 	f1
@000f	 	f0
@0010	 	f0
@0011	 	ef
@0012	 	ed
@0013	 	eb
@0014	 	e7
@0015	 	e1
@0016	 	db
@0017	 	d5
@0018	 	ce
@0019	 	c8
@001a	 	c2
@001b	 	bc
@001c	 	b7
@001d	 	b2
@001e	 	ad
@001f	 	aa
@0020	 	a6
@0021	 	a3
@0022	 	9e
@0023	 	9a
@0024	 	95
@0025	 	93
@0026	 	92
@0027	 	95
@0028	 	99
@0029	 	9e
@002a	 	a2
@002b	 	a4
@002c	 	a4
@002d	 	a2
@002e	 	a1
@002f	 	a1
@0030	 	a2
@0031	 	a2
@0032	 	a3
@0033	 	a2
@0034	 	a1
@0035	 	a0
@0036	 	a1
@0037	 	a3
@0038	 	a8
@0039	 	ac
@003a	 	b0
@003b	 	b1
@003c	 	b0
@003d	 	ad
@003e	 	a8
@003f	 	a3
@0040	 	9f
@0041	 	9c
@0042	 	98
@0043	 	95
@0044	 	90
@0045	 	8b
@0046	 	85
@0047	 	7f
@0048	 	79
@0049	 	73
@004a	 	6c
@004b	 	66
@004c	 	60
@004d	 	5b
@004e	 	58
@004f	 	55
@0050	 	54
@0051	 	54
@0052	 	53
@0053	 	53
@0054	 	53
@0055	 	53
@0056	 	52
@0057	 	51
@0058	 	4e
@0059	 	4a
@005a	 	46
@005b	 	45
@005c	 	4b
@005d	 	59
@005e	 	71
@005f	 	8f
