@0001	 	a2
@0002	 	b3
@0003	 	c4
@0004	 	d4
@0005	 	e1
@0006	 	ec
@0007	 	f4
@0008	 	fa
@0009	 	fd
@000a	 	ff
@000b	 	fe
@000c	 	fd
@000d	 	fb
@000e	 	f9
@000f	 	f6
@0010	 	f5
@0011	 	f3
@0012	 	f2
@0013	 	f1
@0014	 	f1
@0015	 	f1
@0016	 	f1
@0017	 	f1
@0018	 	f1
@0019	 	f1
@001a	 	f1
@001b	 	f1
@001c	 	f0
@001d	 	f0
@001e	 	f0
@001f	 	ef
@0020	 	ee
@0021	 	ee
@0022	 	ec
@0023	 	eb
@0024	 	e9
@0025	 	e6
@0026	 	e4
@0027	 	e1
@0028	 	dd
@0029	 	da
@002a	 	d7
@002b	 	d3
@002c	 	d0
@002d	 	cd
@002e	 	c9
@002f	 	c6
@0030	 	c3
@0031	 	c0
@0032	 	bc
@0033	 	b9
@0034	 	b6
@0035	 	b4
@0036	 	b1
@0037	 	af
@0038	 	ad
@0039	 	ab
@003a	 	a9
@003b	 	a8
@003c	 	a6
@003d	 	a4
@003e	 	a2
@003f	 	9f
@0040	 	9d
@0041	 	9a
@0042	 	98
@0043	 	95
@0044	 	94
@0045	 	93
@0046	 	92
@0047	 	93
@0048	 	94
@0049	 	95
@004a	 	98
@004b	 	9a
@004c	 	9d
@004d	 	9f
@004e	 	a1
@004f	 	a2
@0050	 	a4
@0051	 	a4
@0052	 	a4
@0053	 	a3
@0054	 	a2
@0055	 	a2
@0056	 	a1
@0057	 	a1
@0058	 	a1
@0059	 	a1
@005a	 	a2
@005b	 	a2
@005c	 	a3
@005d	 	a3
@005e	 	a3
@005f	 	a2
@0060	 	a2
@0061	 	a1
@0062	 	a1
@0063	 	a0
@0064	 	a0
@0065	 	a1
@0066	 	a2
@0067	 	a4
@0068	 	a6
@0069	 	a8
@006a	 	ab
@006b	 	ad
@006c	 	af
@006d	 	b1
@006e	 	b1
@006f	 	b1
@0070	 	b1
@0071	 	af
@0072	 	ad
@0073	 	ab
@0074	 	a8
@0075	 	a6
@0076	 	a4
@0077	 	a1
@0078	 	9f
@0079	 	9d
@007a	 	9c
@007b	 	9a
@007c	 	98
@007d	 	96
@007e	 	94
@007f	 	91
@0080	 	8f
@0081	 	8c
@0082	 	89
@0083	 	86
@0084	 	83
@0085	 	80
@0086	 	7c
@0087	 	79
@0088	 	76
@0089	 	72
@008a	 	6f
@008b	 	6c
@008c	 	68
@008d	 	65
@008e	 	62
@008f	 	5f
@0090	 	5c
@0091	 	5a
@0092	 	58
@0093	 	57
@0094	 	56
@0095	 	55
@0096	 	54
@0097	 	54
@0098	 	54
@0099	 	53
@009a	 	53
@009b	 	53
@009c	 	53
@009d	 	53
@009e	 	53
@009f	 	53
@00a0	 	53
@00a1	 	52
@00a2	 	52
@00a3	 	51
@00a4	 	50
@00a5	 	4e
@00a6	 	4c
@00a7	 	4a
@00a8	 	48
@00a9	 	46
@00aa	 	45
@00ab	 	46
@00ac	 	48
@00ad	 	4c
@00ae	 	53
@00af	 	5d
@00b0	 	69
@00b1	 	77
@00b2	 	87
@00b3	 	98
