@0001	 	98
@0002	 	aa
@0003	 	bc
@0004	 	cc
@0005	 	da
@0006	 	e7
@0007	 	f1
@0008	 	f8
@0009	 	fd
@000a	 	ff
@000b	 	fe
@000c	 	fb
@000d	 	f7
@000e	 	f1
@000f	 	ea
@0010	 	e2
@0011	 	da
@0012	 	d3
@0013	 	cc
@0014	 	c6
@0015	 	c0
@0016	 	bc
@0017	 	b9
@0018	 	b6
@0019	 	b5
@001a	 	b4
@001b	 	b4
@001c	 	b4
@001d	 	b5
@001e	 	b6
@001f	 	b7
@0020	 	b8
@0021	 	ba
@0022	 	bb
@0023	 	bc
@0024	 	be
@0025	 	c0
@0026	 	c2
@0027	 	c4
@0028	 	c6
@0029	 	c8
@002a	 	c9
@002b	 	cb
@002c	 	cc
@002d	 	cd
@002e	 	cd
@002f	 	cb
@0030	 	c9
@0031	 	c6
@0032	 	c2
@0033	 	bc
@0034	 	b6
@0035	 	af
@0036	 	a8
@0037	 	a0
@0038	 	99
@0039	 	92
@003a	 	8c
@003b	 	87
@003c	 	83
@003d	 	80
@003e	 	7f
@003f	 	7f
@0040	 	82
@0041	 	85
@0042	 	8a
@0043	 	91
@0044	 	98
@0045	 	9f
@0046	 	a7
@0047	 	af
@0048	 	b6
@0049	 	bd
@004a	 	c3
@004b	 	c7
@004c	 	cb
@004d	 	cd
@004e	 	cd
@004f	 	cc
@0050	 	ca
@0051	 	c7
@0052	 	c2
@0053	 	bd
@0054	 	b8
@0055	 	b2
@0056	 	ac
@0057	 	a6
@0058	 	a0
@0059	 	9b
@005a	 	96
@005b	 	92
@005c	 	8e
@005d	 	8c
@005e	 	8a
@005f	 	8a
@0060	 	8a
@0061	 	8b
@0062	 	8c
@0063	 	8e
@0064	 	91
@0065	 	94
@0066	 	97
@0067	 	9a
@0068	 	9d
@0069	 	a1
@006a	 	a3
@006b	 	a6
@006c	 	a8
@006d	 	aa
@006e	 	ab
@006f	 	ab
@0070	 	ab
@0071	 	ab
@0072	 	a9
@0073	 	a7
@0074	 	a5
@0075	 	a2
@0076	 	9f
@0077	 	9c
@0078	 	98
@0079	 	95
@007a	 	92
@007b	 	8e
@007c	 	8c
@007d	 	89
@007e	 	87
@007f	 	86
@0080	 	85
@0081	 	85
@0082	 	85
@0083	 	87
@0084	 	88
@0085	 	8a
@0086	 	8d
@0087	 	90
@0088	 	93
@0089	 	96
@008a	 	99
@008b	 	9c
@008c	 	9f
@008d	 	a2
@008e	 	a4
@008f	 	a5
@0090	 	a7
@0091	 	a7
@0092	 	a6
@0093	 	a5
@0094	 	a2
@0095	 	9f
@0096	 	9b
@0097	 	96
@0098	 	91
@0099	 	8c
@009a	 	86
@009b	 	7f
@009c	 	79
@009d	 	74
@009e	 	6f
@009f	 	6a
@00a0	 	67
@00a1	 	64
@00a2	 	64
@00a3	 	64
@00a4	 	66
@00a5	 	69
@00a6	 	6d
@00a7	 	73
@00a8	 	79
@00a9	 	81
@00aa	 	88
@00ab	 	90
@00ac	 	98
@00ad	 	9f
@00ae	 	a5
@00af	 	ab
@00b0	 	af
@00b1	 	b1
@00b2	 	b2
@00b3	 	b1
@00b4	 	af
@00b5	 	ab
@00b6	 	a5
@00b7	 	9f
@00b8	 	98
@00b9	 	91
@00ba	 	89
@00bb	 	82
@00bc	 	7b
@00bd	 	75
@00be	 	70
@00bf	 	6b
@00c0	 	68
@00c1	 	65
@00c2	 	64
@00c3	 	64
@00c4	 	64
@00c5	 	65
@00c6	 	67
@00c7	 	68
@00c8	 	6a
@00c9	 	6d
@00ca	 	6f
@00cb	 	71
@00cc	 	72
@00cd	 	74
@00ce	 	75
@00cf	 	77
@00d0	 	78
@00d1	 	79
@00d2	 	7a
@00d3	 	7b
@00d4	 	7c
@00d5	 	7d
@00d6	 	7c
@00d7	 	7c
@00d8	 	7a
@00d9	 	78
@00da	 	75
@00db	 	71
@00dc	 	6b
@00dd	 	65
@00de	 	5e
@00df	 	57
@00e0	 	4f
@00e1	 	48
@00e2	 	40
@00e3	 	3a
@00e4	 	35
@00e5	 	33
@00e6	 	32
@00e7	 	33
@00e8	 	38
@00e9	 	3f
@00ea	 	49
@00eb	 	55
@00ec	 	63
@00ed	 	73
@00ee	 	84
@00ef	 	96
